city_from,city_to,transitmode,persona,total distance,total time,total Cost,start time,transfertime,eagres time,stop1 lat,stop 1 long,stop 2 lat,stop 2 long,stp3 lat,stop 3 lon,
66,75,3,4,198km,9h,$37.00,5:25 AM,8:05AM-10AM,2:25 PM,KingAndClarenceMegabusStop,,UnionStation,,LondonGreyhound,,
66,74,3,4,92km,6h5min,$24,5:25 AM,8:05AM-10AM,11:30 AM,KingAndClarenceMegabusStop,,UnionStation,,HamiltonGO,,
66,73,3,4,RepeatFromAbove,,,,,,,,,,,,
66,72,3,4,147km,2h40min,$14,5:25 AM,,8:05 AM,KingAndClarenceMegabusStop,,UnionStation,,,,
66,71,3,4,515km,16h5min,$67,5:25 AM,8:05AM-4PM,9:30 PM,KingAndClarenceMegabusStop,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
66,70,3,4,159km,5h,$25.00,5:25 AM,8:05AM-8:30AM,10:25 AM,KingAndClarenceMegabusStop,,UnionStation,,CharlesStreetTerminal,,
66,69,3,4,225km,11h55min,$26,5:25 AM,8:05AM-3:15PM,5:20 PM,KingAndClarenceMegabusStop,,UnionStation,,BarrieBusTerminal,,
66,68,3,4,594km,8h25min,$55,5:25 AM,8:05AM-8:30AM,1:50 PM,KingAndClarenceMegabusStop,,UnionStation,,OttawaCentralStation,,
66,67,3,4,623km,28h50min,$104.40,5:25 AM,8:05AM-4PM-9:30PM-8:30AM,10:15 AM,KingAndClarenceMegabusStop,,UnionStation,,OntarioNorthlandSudburyBusDepot,,OntarioNorthlandNorthBayBusStation
66,64,3,4,409km,23h30min,$65.20,12:45 PM,4:05PM-8PM-9:55PM-10:15AM,12:15 PM,KingAndClarenceMegabusStop,,UnionStation,,PeterboroughGreyhoundStation,,MaynoothGreyhound
66,75,3,5,198km,9h,$40.00,5:25 AM,8:05AM-10AM,2:25 PM,KingAndClarenceMegabusStop,,UnionStation,,LondonGreyhound,,
66,74,3,5,92km,6h5min,$25,5:25 AM,8:05AM-10AM,11:30 AM,KingAndClarenceMegabusStop,,UnionStation,,HamiltonGO,,
66,73,3,5,RepeatFromAbove,,,,,,,,,,,,
66,72,3,5,147km,2h40min,$11,5:25 AM,,8:05 AM,KingAndClarenceMegabusStop,,UnionStation,,,,
66,71,3,5,515km,16h5min,$68,5:25 AM,8:05AM-4PM,9:30 PM,KingAndClarenceMegabusStop,,UnionStation,,OntarioNorthlandSudburyBusDepot,,
66,70,3,5,159km,7h30min ,$24,5:25 AM,8:05AM-10:30AM,12:55 PM,KingAndClarenceMegabusStop,,UnionStation,,CharlesStreetTerminal,,
66,69,3,5,225km,11h55min,$25,5:25 AM,8:05AM-3:15PM,5:20 PM,KingAndClarenceMegabusStop,,UnionStation,,BarrieBusTerminal,,
66,68,3,5,594km,8h25min,$66,5:25 AM,8:05AM-8:30AM,1:50 PM,KingAndClarenceMegabusStop,,UnionStation,,OttawaCentralStation,,
66,67,3,5,623km,28h50min,$116.90,5:25 AM,8:05AM-4PM-9:30PM-8:30AM,10:15 AM,KingAndClarenceMegabusStop,,UnionStation,,OntarioNorthlandSudburyBusDepot,,OntarioNorthlandNorthBayBusStation
